"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"ESRRG" "ESRRG" 0.0135623145860587 1.70967501579598 0.081373887516352 "<0.1"
"PPARGC1A" "PPARGC1A" 0.282458757251118 1.26707086269556 0.452830188679245 "n.s."
"CUX1" "CUX1" 0.000159314190991634 8.39742096462118 0.0019117702918996 "<0.1"
"JUND" "JUND" 0.842493488488522 0.858672708196417 0.919083805623842 "n.s."
"NFE2L1" "NFE2L1" 0.37004725552496 2.50081338883416 0.452830188679245 "n.s."
"NRF1" "NRF1" 0.0904003924764591 0.265241163258563 0.361601569905836 "n.s."
"POU3F2" "POU3F2" 1 0.547571930491282 1 "n.s."
"POU2F1" "POU2F1" 0.377358490566038 Inf 0.452830188679245 "n.s."
"MXI1" "MXI1" 0.377358490566038 Inf 0.452830188679245 "n.s."
"MAX" "MAX" 0.377358490566038 Inf 0.452830188679245 "n.s."
"KDM5A" "KDM5A" 0.377358490566038 Inf 0.452830188679245 "n.s."
"ETS1" "ETS1" 0.377358490566038 Inf 0.452830188679245 "n.s."
