"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"RFX3" "RFX3" 1.08200587979909e-30 4.13333434779406 3.78702057929681e-29 "<0.1"
"NR3C1" "NR3C1" 2.7803873094147e-07 0.560004106849921 8.10946298579287e-07 "<0.1"
"JUND" "JUND" 9.59950532267795e-23 4.0048403512989 1.67991343146864e-21 "<0.1"
"CUX1" "CUX1" 9.65608230632232e-22 5.18365568169032 8.44907201803203e-21 "<0.1"
"EGR3" "EGR3" 5.69807502322955e-22 7.31482796238901 6.64775419376781e-21 "<0.1"
"BHLHE40" "BHLHE40" 3.92749220607389e-16 6.36449185676204 2.29103712020977e-15 "<0.1"
"EGR1" "EGR1" 1.49495038795575e-10 4.10733693320951 5.81369595316123e-10 "<0.1"
"HLF" "HLF" 1.75810302031997e-08 3.38697988156757 5.59396415556355e-08 "<0.1"
"PPARGC1A" "PPARGC1A" 5.77279131022993e-06 0.400021489763629 1.44319782755748e-05 "<0.1"
"FOXP2" "FOXP2" 0.00151403076460759 0.512118528688439 0.0029439487089592 "<0.1"
"CHD2" "CHD2" 2.96088226227078e-09 0.316589844038242 1.03630879179477e-08 "<0.1"
"ZBTB7A" "ZBTB7A" 8.22606268286042e-06 3.50292384927483 1.91941462600076e-05 "<0.1"
"CEBPB" "CEBPB" 5.60430575256417e-17 31.5917888748835 3.92301402679492e-16 "<0.1"
"FOSL2" "FOSL2" 0.00898859548896001 2.09164377864896 0.0165579390586105 "<0.1"
"NRF1" "NRF1" 3.7196460247003e-15 0.167300676158213 1.85982301235015e-14 "<0.1"
"ETS2" "ETS2" 0.000284543100160543 5.24554421603932 0.000622438031601187 "<0.1"
"FOS" "FOS" 0.0236673088293038 2.74313644914823 0.0376525367738925 "<0.1"
"JUNB" "JUNB" 0.0424492990051307 2.59788009521978 0.0645967593556337 "n.s."
"JUN" "JUN" 4.87215668007707e-06 36.5168297617519 1.31173449078998e-05 "<0.1"
"CREM" "CREM" 0.825582186674429 1.06029500674296 0.849864015694265 "n.s."
"ARX" "ARX" 0.0605671541110384 2.34505323724494 0.0847940157554537 "n.s."
"ONECUT2" "ONECUT2" 0.000455546212105844 24.2107354438561 0.000937889260217913 "<0.1"
"ESRRG" "ESRRG" 3.57111241595575e-11 0.10299946969523 1.56236168198064e-10 "<0.1"
"SREBF2" "SREBF2" 0.215042456205995 0.429332746712915 0.259533998869304 "n.s."
"EGR2" "EGR2" 0.0124926043793712 9.06071517794803 0.0218620576638997 "<0.1"
"NFE2L1" "NFE2L1" 1 0.888702118932087 1 "n.s."
"MAZ" "MAZ" 0.0504562045988056 8.0342850675278 0.0735819650399249 "n.s."
"EGR4" "EGR4" 0.0719010177693205 6.02500013051842 0.0961136648558295 "n.s."
"CUX2" "CUX2" 0.0167897868663032 24.0829200570795 0.0279829781105053 "<0.1"
"TBL1XR1" "TBL1XR1" 0.329823103149845 3.00571812705319 0.384793620341485 "n.s."
"NEUROD1" "NEUROD1" 0.0768909318846636 Inf 0.0961136648558295 "n.s."
"LHX6" "LHX6" 0.511046024362937 0.385654657931929 0.542018510687964 "n.s."
"FOXO3" "FOXO3" 0.0768909318846636 Inf 0.0961136648558295 "n.s."
"DLX1" "DLX1" 0.381407520225949 2.40426837175672 0.417164475247132 "n.s."
"ATF4" "ATF4" 0.381407520225949 2.40426837175672 0.417164475247132 "n.s."
