,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ARHGAP18,0,7.47659442194562,0.616,0.056,0,L2,ARHGAP18
LPCAT2,9.72330223835831e-269,3.27410237092994,0.579,0.063,3.22687231384397e-264,L2,LPCAT2
LOC102723409,4.007520947586e-268,9.4067480663706,0.489,0.04,1.32997597687537e-263,L2,LOC102723409
LHFP,2.39779426129013e-265,21.171012263669,0.563,0.065,7.95755981494357e-261,L2,LHFP
SLC7A11,3.36619967022984e-265,27.1505059269957,0.431,0.028,1.11714068455918e-260,L2,SLC7A11
HCRTR2,3.82947802627437e-253,22.2231668712003,0.571,0.068,1.27088887257968e-248,L2,HCRTR2
ALCAM,3.59911058143123e-214,93.6169825919867,0.994,0.535,1.19443682865958e-209,L2,ALCAM
PPP1R1C,7.56621967298732e-210,5.78461220003638,0.465,0.051,2.5110013228743e-205,L2,PPP1R1C
COL11A1,1.33794857409687e-209,-2.53900752311173,0.513,0.069,4.44024993285528e-205,L2,COL11A1
SYT9,1.9477005877625e-206,4.52515540870592,0.457,0.05,6.46383394060739e-202,L2,SYT9
DPF3,7.91436373743753e-206,11.8463218357697,0.545,0.081,2.62653989354339e-201,L2,DPF3
LRRC63,1.24355806359116e-194,4.12835347903832,0.392,0.036,4.12699614563998e-190,L2,LRRC63
LOC105373642,3.53030351523761e-188,17.1037594706238,0.569,0.104,1.1716018276019e-183,L2,LOC105373642
CHRNA2,5.72584017225966e-187,3.291085473103,0.37,0.032,1.90023457796781e-182,L2,CHRNA2
DPYSL3,4.5222431891674e-180,3.4590276540493,0.481,0.07,1.50079684718899e-175,L2,DPYSL3
LOC646241,1.5226197726049e-179,3.63148841153522,0.416,0.048,5.05311823934388e-175,L2,LOC646241
LYPD1,3.33381944356817e-178,1.37188473681654,0.346,0.029,1.10639465873697e-173,L2,LYPD1
KCNG2,2.47354895619296e-176,33.0303884269823,0.473,0.072,8.20896692091759e-172,L2,KCNG2
NECAB1,1.00073376134909e-175,47.0039747564352,0.672,0.172,3.32113513378921e-171,L2,NECAB1
EDIL3,2.44123321650255e-174,32.022070529049,0.976,0.611,8.10172067560701e-170,L2,EDIL3
ABCB4,7.3823262142617e-170,1.49665104289807,0.223,0.007,2.44997260072703e-165,L2,ABCB4
LOC105373643,3.56908801924559e-169,3.83442461075548,0.423,0.054,1.18447324094704e-164,L2,LOC105373643
CDH8,5.95996283157503e-162,72.4950239421355,0.952,0.482,1.97793286491481e-157,L2,CDH8
NPR3,7.02955531309522e-161,4.97675860419459,0.37,0.041,2.33289852175691e-156,L2,NPR3
LOC105370456,2.53962565942308e-159,4.21523032983941,0.376,0.045,8.42825567592739e-155,L2,LOC105370456
ARPP21,2.1094956771884e-155,-14.1293146227031,0.773,0.257,7.00078330388515e-151,L2,ARPP21
LINC00923,9.74078495873964e-151,9.50410799541312,0.296,0.025,3.23267430425692e-146,L2,LINC00923
TP53I11,1.057822364633e-149,9.63692846185993,0.453,0.077,3.51059508150754e-145,L2,TP53I11
CASC6,4.21659389029329e-147,1.19473678158667,0.181,0.004,1.39936101437163e-142,L2,CASC6
CALB2,4.04651922127771e-146,7.14025102362482,0.439,0.074,1.34291833396543e-141,L2,CALB2
LOC100506497,1.59068865040801e-141,2.82204871046009,0.233,0.014,5.27901842410906e-137,L2,LOC100506497
LOC105377703,2.5860025764495e-141,19.0482460569469,0.334,0.038,8.58216675046295e-137,L2,LOC105377703
NCKAP5,6.07250232685133e-140,14.6749864249167,0.672,0.218,2.01528134721215e-135,L2,NCKAP5
TNS3,1.0480533154984e-139,4.337644827731,0.396,0.06,3.47817453814454e-135,L2,TNS3
IGF1,3.98663858059966e-138,69.5430870700964,0.966,0.622,1.32304574574361e-133,L2,IGF1
LOC105374016,2.18611943915683e-137,6.00282349536231,0.159,0.003,7.25507458272978e-133,L2,LOC105374016
LOC105375633,8.23453716721287e-137,2.6250585499153,0.288,0.027,2.73279584968293e-132,L2,LOC105375633
NRP2,1.6253073583169e-136,3.02829562625511,0.274,0.024,5.39390753004629e-132,L2,NRP2
FREM2,4.23562739708861e-135,54.2546782708,0.179,0.006,1.4056776642718e-130,L2,FREM2
NPY1R,4.94179985863513e-135,2.68842763445016,0.537,0.122,1.64003511908524e-130,L2,NPY1R
IGFBP5,1.8576033260568e-132,11.120546098439,0.292,0.03,6.16482815818471e-128,L2,IGFBP5
