,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HS6ST3,0,132.869848422762,1,0.941,0,L2,HS6ST3
LRRTM4,0,113.962675008082,1,0.96,0,L2,LRRTM4
ENC1,0,77.8949706391145,0.994,0.92,0,L2,ENC1
EPHA6,0,62.2087714154595,0.986,0.519,0,L2,EPHA6
ARPP19,0,51.2610473976173,0.954,0.884,0,L2,ARPP19
GRIA4,0,42.0082291755498,1,0.973,0,L2,GRIA4
CACNA2D1,0,41.4141944150072,0.997,0.998,0,L2,CACNA2D1
CAMK2N1,0,38.0202284031742,0.962,0.84,0,L2,CAMK2N1
RFX3,0,36.1841293593022,0.993,0.982,0,L2,RFX3
SDK1,0,35.2329703679633,0.89,0.689,0,L2,SDK1
NRGN,0,33.8129286421237,0.93,0.972,0,L2,NRGN
PPFIA2,0,31.9119978939713,0.999,0.999,0,L2,PPFIA2
UNC5D,0,29.05653740391,0.981,0.848,0,L2,UNC5D
EPB41L2,0,28.7405679886323,0.992,0.864,0,L2,EPB41L2
SEPW1,0,27.5306598449261,0.784,0.902,0,L2,SEPW1
FAM19A1,0,25.9582753469373,0.995,0.765,0,L2,FAM19A1
PDGFD,0,22.7035447871822,0.323,0.084,0,L2,PDGFD
HOPX,0,22.5409849273645,0.863,0.623,0,L2,HOPX
MLIP,0,17.0144082588243,0.984,0.914,0,L2,MLIP
DGKB,0,15.9610225954969,0.999,0.918,0,L2,DGKB
CDH9,0,14.5111289504482,0.989,0.752,0,L2,CDH9
LOC101927636,0,14.5062770373413,0.741,0.533,0,L2,LOC101927636
PVRL3,0,14.123212456908,0.985,0.815,0,L2,PVRL3
RASGRF2,0,13.3890616545613,0.992,0.766,0,L2,RASGRF2
LINC01378,0,13.1864151920664,0.971,0.634,0,L2,LINC01378
FTH1,0,13.1469719851577,0.96,0.984,0,L2,FTH1
GPC6,0,11.7144441556006,0.942,0.697,0,L2,GPC6
LRRN1,0,11.7102722411701,0.807,0.598,0,L2,LRRN1
DAPK1,0,10.4836084414875,0.946,0.841,0,L2,DAPK1
ADAMTS9-AS2,0,10.2619168562205,0.635,0.129,0,L2,ADAMTS9-AS2
GLRA3,0,9.96659335575545,0.782,0.302,0,L2,GLRA3
PCSK1N,0,9.75442568849158,0.657,0.8,0,L2,PCSK1N
HPCAL1,0,9.46669315392234,0.633,0.22,0,L2,HPCAL1
GALNT13,0,9.33491105923917,0.967,0.763,0,L2,GALNT13
LOC105379037,0,9.26784016349141,0.257,0.072,0,L2,LOC105379037
GRM1,0,8.47038822648562,0.977,0.79,0,L2,GRM1
IPO5,0,8.36056871512008,0.847,0.692,0,L2,IPO5
LOC105375159,0,8.21886619793013,0.575,0.264,0,L2,LOC105375159
GALNTL6,0,7.42701405643851,0.994,0.734,0,L2,GALNTL6
RGS12,0,7.38633133070586,0.697,0.429,0,L2,RGS12
LOC105369894,0,7.32548329450499,0.6,0.351,0,L2,LOC105369894
