p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ZNF385D,0,210.152950695755,0.555,0.87,0,L2,ZNF385D
SGCD,0,182.289813303251,0.895,0.721,0,L2,SGCD
GALNTL6,0,177.961728180986,0.989,0.741,0,L2,GALNTL6
FAM19A2,0,140.451657117873,0.978,0.823,0,L2,FAM19A2
LRRTM4,0,114.30002796979,1,0.957,0,L2,LRRTM4
PTPRK,0,100.056194169441,0.964,0.697,0,L2,PTPRK
SHISA9,0,78.4157707354245,0.988,0.808,0,L2,SHISA9
ENC1,0,78.2323236008231,0.964,0.746,0,L2,ENC1
PCLO,0,53.8899551278243,0.989,0.996,0,L2,PCLO
ARPP19,0,51.5984003547154,0.936,0.772,0,L2,ARPP19
RBMS3,0,46.4687288448628,0.232,0.514,0,L2,RBMS3
CDH8,0,43.8611766975193,0.92,0.657,0,L2,CDH8
CAMK2N1,0,38.3082337996508,0.954,0.806,0,L2,CAMK2N1
RFX3,0,36.5214823139088,0.991,0.969,0,L2,RFX3
PPFIA2,0,32.2493510180338,0.999,0.996,0,L2,PPFIA2
ALCAM,0,29.3641391915043,0.834,0.551,0,L2,ALCAM
KCNAB1,0,29.2940336148141,0.525,0.799,0,L2,KCNAB1
EPB41L2,0,29.0779209300354,0.974,0.806,0,L2,EPB41L2
FAM19A1,0,26.2956283086459,0.972,0.623,0,L2,FAM19A1
PLCXD3,0,24.7861565846662,0.08,0.311,0,L2,PLCXD3
SGCZ,0,23.619539914582,0.414,0.803,0,L2,SGCZ
HOPX,0,22.8768973725939,0.835,0.495,0,L2,HOPX
PCDH11X,0,22.1504160138578,0.176,0.513,0,L2,PCDH11X
KIAA1211,0,21.180520836708,0.104,0.506,0,L2,KIAA1211
LOC105378334,0,20.707968716006,0.819,0.498,0,L2,LOC105378334
RASGRF2,0,20.6192230980617,0.98,0.758,0,L2,RASGRF2
THSD7A,0,20.5467110370562,0.745,0.262,0,L2,THSD7A
